City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
163,vondrozo,0,MG,1531692744,92,-22.82,47.32,54.48,2.71
164,hualmay,0,PE,1531692745,68,-11.1,-77.61,68.43,5.61
165,pimentel,80,BR,1531692745,63,-3.7,-45.5,83.73,4.16
166,thompson,90,CA,1531692000,93,55.74,-97.86,55.4,2.24
167,yushu,32,CN,1531692745,95,44.84,126.53,73.38,6.4
168,kirakira,0,SB,1531692746,100,-10.46,161.92,81.48,17.25
169,opuwo,0,NA,1531692746,63,-18.06,13.84,51.24,1.7
170,mackay,75,CA,1531692000,33,53.65,-115.58,77.0,9.17
171,tiksi,8,RU,1531692747,75,71.64,128.87,41.79,2.15
172,comodoro rivadavia,20,AR,1531688400,74,-45.87,-67.48,35.6,8.05
173,broome,20,GB,1531691760,68,52.47,1.45,73.4,3.36
174,grants,1,US,1531691700,27,35.15,-107.85,86.0,8.05
175,uaua,0,BR,1531692748,37,-9.84,-39.48,80.13,9.42
176,dwarka,75,IN,1531690200,84,28.58,77.04,86.0,6.93
177,sao filipe,8,CV,1531692749,92,14.9,-24.5,78.51,6.62
178,tecoanapa,5,MX,1531687320,62,16.99,-99.26,89.6,9.17
179,purwakarta,20,ID,1531692749,95,-6.56,107.44,69.33,4.16
180,bambous virieux,20,MU,1531688400,88,-20.34,57.76,64.4,3.36
181,cukai,32,MY,1531688400,83,4.25,103.42,78.8,3.36
182,kodiak,1,US,1531687980,46,39.95,-94.76,91.4,5.39
183,ponta do sol,0,BR,1531692751,57,-20.63,-46.0,69.78,2.71
184,bunia,12,CD,1531692751,89,1.56,30.25,61.68,2.71
185,tabou,92,CI,1531692751,100,4.42,-7.36,75.81,14.0
186,caravelas,80,BR,1531692752,100,-17.73,-39.27,74.73,11.77
187,labe,36,NG,1531692752,100,7.7,8.47,73.2,6.96
188,candido mendes,8,BR,1531692752,97,-1.45,-45.72,81.21,11.88
189,vila franca do campo,20,PT,1531692000,88,37.72,-25.43,68.0,12.75
190,hilo,75,US,1531690800,74,19.71,-155.08,80.6,6.93
191,lagoa,0,PT,1531692000,88,37.14,-8.45,66.2,10.29
192,lodja,0,CD,1531692753,55,-3.52,23.6,74.91,2.59
193,mogadishu,80,SO,1531692634,98,2.04,45.34,77.79,21.72
194,ishigaki,75,JP,1531688400,100,24.34,124.16,80.6,11.41
195,chokurdakh,44,RU,1531692754,87,70.62,147.9,51.51,8.63
196,neuquen,0,AR,1531688400,43,-38.95,-68.06,55.4,4.7
197,auki,56,NG,1531692755,90,12.18,6.51,74.01,4.94
198,vidim,0,CZ,1531692000,56,50.47,14.53,69.8,4.7
199,lumphat,92,KH,1531692755,98,13.5,106.97,72.66,4.05
200,eyl,24,SO,1531692756,68,7.98,49.82,82.29,23.85
201,kamenka,24,RU,1531692756,47,53.19,44.05,77.07,8.3
202,petrovskaya,0,RU,1531690200,69,45.43,37.96,75.2,11.18
203,kipini,92,KE,1531692757,81,-2.53,40.53,78.15,18.7
204,liwale,0,TZ,1531692757,63,-9.8,37.92,69.24,5.39
205,hofn,92,IS,1531692758,97,64.25,-15.21,49.71,5.73
206,coquimbo,0,CL,1531688400,82,-29.95,-71.34,57.2,10.29
207,golden,20,CA,1531688400,21,51.3,-116.96,80.6,9.17
208,dingle,92,PH,1531692758,96,11.0,122.67,75.63,8.97
209,vrangel,44,RU,1531692759,84,42.73,133.08,62.4,4.38
210,arcata,1,US,1531690500,68,40.87,-124.08,66.2,12.75
211,lorengau,88,PG,1531692760,100,-2.02,147.27,80.76,6.4
212,poya,12,NC,1531692760,100,-21.35,165.16,69.78,8.75
213,kieta,92,PG,1531692760,100,-6.22,155.63,74.82,5.84
214,olga,1,US,1531688340,38,34.11,-118.17,100.4,11.41
215,lebu,68,ET,1531692761,98,8.96,38.73,51.78,2.71
216,butaritari,80,KI,1531692761,100,3.07,172.79,79.14,5.28
217,tessalit,80,ML,1531692761,14,20.2,1.01,90.66,7.63
218,vostok,92,RU,1531692762,100,46.45,135.83,63.75,1.7
219,badin,40,US,1531691100,46,35.41,-80.12,93.2,4.7
220,egvekinot,44,RU,1531692763,83,66.32,-179.17,52.05,2.82
221,nalut,0,LY,1531692763,24,31.86,10.98,87.42,9.42
222,kaniama,0,CD,1531692763,33,-7.57,24.18,69.78,5.95
223,sioux lookout,20,CA,1531688400,41,50.1,-91.92,78.8,11.41
224,burnie,88,AU,1531692764,100,-41.05,145.91,53.49,21.05
225,yerbogachen,24,RU,1531692764,92,61.28,108.01,52.23,2.71
226,zinder,20,NE,1531692765,79,13.81,8.99,77.07,4.94
227,staraya russa,8,RU,1531692765,82,57.99,31.36,69.78,5.28
228,yatou,75,CM,1531688400,100,3.63,9.81,77.0,1.12
229,zyryanka,64,RU,1531692766,86,65.73,150.89,53.94,2.59
230,borogontsy,68,RU,1531692766,94,62.67,131.17,63.75,5.28
231,coihaique,75,CL,1531688400,84,-45.58,-72.07,37.4,4.7
232,matamoros,20,US,1531691580,56,25.87,-97.51,93.2,21.92
233,lucapa,0,AO,1531692767,69,-8.42,20.74,61.68,3.15
234,te anau,64,NZ,1531692767,84,-45.41,167.72,37.56,5.73
235,paris,0,FR,1531692000,49,48.86,2.35,75.2,4.7
236,hearst,12,CA,1531692768,48,49.69,-83.67,86.25,10.76
237,deputatskiy,88,RU,1531692768,72,69.3,139.9,49.53,3.94
238,harper,1,US,1531691700,32,30.3,-99.24,98.6,11.41
239,leh,20,IN,1531692769,87,34.16,77.58,29.91,1.48
240,ayan,8,TR,1531692769,89,40.67,33.6,50.88,2.26
241,williams lake,20,CA,1531692000,14,52.13,-122.14,80.6,6.93
